employeeid,age,gender,department,jobrole,educationlevel,performancerating,jobsatisfaction,environmentsatisfaction,worklifebalance,yearsatcompany,yearsincurrentrole,trainingtimeslastyear,overtime,monthlyincome,distancefromhome,attrition,attrition_flag,age_bin,income_bin,distance_bin,tenure_bin,low_job_satisfaction,poor_work_life,long_role_stagnation,long_commute,attrition_probability,attrition_risk_score
2001,57,Female,Sales,Executive,5,4,3,1,3,5,7,1,Yes,7112,20,No,0,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",0,0,1,1,0.12598591040200174,12.6
2002,24,Male,IT,Manager,2,4,2,2,4,8,1,0,Yes,5104,23,No,0,"(18, 30]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",1,0,0,1,0.06862329344358441,6.9
2003,25,Male,IT,Executive,3,2,2,1,1,0,2,5,No,7073,4,No,0,"(18, 30]","(2999.999, 7292.0]","(0.999, 8.0]",,1,1,0,0,0.13002732882078166,13.0
2004,52,Male,R&D,Engineer,5,3,2,3,1,14,7,3,No,8430,27,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.09543246784654971,9.5
2005,23,Female,HR,Executive,3,3,4,4,3,0,1,4,Yes,17323,24,No,0,"(18, 30]","(15743.5, 19999.0]","(22.0, 29.0]",,0,0,0,1,0.025374041938342213,2.5
2006,35,Female,Operations,Analyst,4,3,4,2,1,2,9,0,No,9681,17,No,0,"(30, 40]","(7292.0, 11588.5]","(15.0, 22.0]","(0, 2]",0,1,1,1,0.016589128183192806,1.7
2007,58,Female,HR,Coordinator,3,3,3,4,3,15,7,3,No,13206,27,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.06231685983455208,6.2
2008,52,Male,Finance,Specialist,3,3,2,4,3,14,7,2,No,12373,1,No,0,"(50, 65]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.052457571165181564,5.2
2009,23,Male,IT,Engineer,1,1,3,1,4,14,4,5,Yes,7701,17,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.07286409917706169,7.3
2010,52,Male,Sales,Manager,4,3,2,1,3,4,4,5,No,12876,21,No,0,"(50, 65]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",1,0,1,1,0.0893406791531284,8.9
2011,43,Female,R&D,Coordinator,3,3,4,1,3,9,7,4,No,6484,19,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(5, 10]",0,0,1,1,0.00940415487577433,0.9
2012,31,Male,Operations,Executive,4,3,4,3,4,10,6,0,No,14271,4,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",0,0,1,0,0.00378742712423586,0.4
2013,51,Male,Marketing,Engineer,3,3,1,2,1,7,7,0,Yes,16491,26,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(5, 10]",1,1,1,1,0.7121228812747956,71.2
2014,54,Female,HR,Analyst,4,2,3,1,3,14,0,1,No,15100,18,No,0,"(50, 65]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",0,0,0,1,0.0896619859708977,9.0
2015,40,Male,Finance,Manager,5,3,4,3,2,19,6,0,No,14021,14,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.006697169387235308,0.7
2016,46,Female,HR,Executive,2,3,2,4,4,11,6,4,Yes,11276,5,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.07667984604262801,7.7
2017,22,Male,Marketing,Coordinator,1,3,4,2,1,3,1,2,No,17975,5,No,0,"(18, 30]","(15743.5, 19999.0]","(0.999, 8.0]","(2, 5]",0,1,0,0,0.018993265409331474,1.9
2018,53,Male,Finance,Executive,2,3,2,4,4,9,8,1,No,10054,5,No,0,"(50, 65]","(7292.0, 11588.5]","(0.999, 8.0]","(5, 10]",1,0,1,0,0.033174545659704284,3.3
