EmployeeID,Age,Gender,Department,JobRole,EducationLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,TrainingTimesLastYear,OverTime,MonthlyIncome,DistanceFromHome,Attrition
2001,57,Female,Sales,Executive,5,4,3,1,3,5,7,1,Yes,7112,20,No
2002,24,Male,IT,Manager,2,4,2,2,4,8,1,0,Yes,5104,23,No
2003,25,Male,IT,Executive,3,2,2,1,1,0,2,5,No,7073,4,No
2004,52,Male,R&D,Engineer,5,3,2,3,1,14,7,3,No,8430,27,No
2005,23,Female,HR,Executive,3,3,4,4,3,0,1,4,Yes,17323,24,No
2006,35,Female,Operations,Analyst,4,3,4,2,1,2,9,0,No,9681,17,No
2007,58,Female,HR,Coordinator,3,3,3,4,3,15,7,3,No,13206,27,No
2008,52,Male,Finance,Specialist,3,3,2,4,3,14,7,2,No,12373,1,No
2009,23,Male,IT,Engineer,1,1,3,1,4,14,4,5,Yes,7701,17,No
2010,52,Male,Sales,Manager,4,3,2,1,3,4,4,5,No,12876,21,No
2011,43,Female,R&D,Coordinator,3,3,4,1,3,9,7,4,No,6484,19,No
2012,31,Male,Operations,Executive,4,3,4,3,4,10,6,0,No,14271,4,No
2013,51,Male,Marketing,Engineer,3,3,1,2,1,7,7,0,Yes,16491,26,No
2014,54,Female,HR,Analyst,4,2,3,1,3,14,0,1,No,15100,18,No
2015,40,Male,Finance,Manager,5,3,4,3,2,19,6,0,No,14021,14,No
2016,46,Female,HR,Executive,2,3,2,4,4,11,6,4,Yes,11276,5,No
2017,22,Male,Marketing,Coordinator,1,3,4,2,1,3,1,2,No,17975,5,No
2018,53,Male,Finance,Executive,2,3,2,4,4,9,8,1,No,10054,5,No
2019,46,Male,HR,Manager,3,4,3,1,3,15,5,4,Yes,19285,16,No
2020,38,Male,Operations,Coordinator,3,1,3,2,1,14,7,0,Yes,13530,21,No
2021,35,Male,Operations,Specialist,5,2,3,3,2,4,5,5,No,14188,11,No
2022,34,Female,R&D,Specialist,3,3,4,2,4,11,6,4,No,13300,1,No
2023,59,Male,Operations,Engineer,4,3,4,2,2,10,2,4,No,19428,28,No
2024,23,Male,Finance,Executive,2,3,3,2,4,10,1,5,Yes,3640,20,No
2025,53,Female,R&D,Engineer,3,2,4,1,3,12,3,2,Yes,10072,16,No
2026,53,Female,Marketing,Manager,5,3,3,4,4,8,3,5,No,6962,27,No
2027,27,Female,Operations,Coordinator,1,3,3,4,2,15,4,5,No,14626,6,No
2028,46,Male,Sales,Engineer,2,3,3,1,4,15,6,0,No,4213,12,No
2029,24,Female,Marketing,Executive,5,4,1,1,3,0,2,3,No,15693,24,Yes
2030,39,Female,Finance,Specialist,5,3,2,4,3,18,5,5,No,16106,10,No
2031,59,Female,Marketing,Specialist,2,3,1,1,4,18,7,1,Yes,18414,24,No
2032,24,Female,Marketing,Manager,5,2,3,1,1,3,7,5,Yes,14802,28,Yes
2033,26,Male,R&D,Analyst,1,4,4,1,3,4,8,5,No,11107,22,No
2034,45,Female,Finance,Engineer,1,3,4,1,4,2,1,2,No,11526,16,No
2035,55,Female,R&D,Manager,3,3,1,4,3,18,3,1,No,11790,23,Yes
2036,45,Male,Finance,Specialist,4,3,3,3,3,12,0,5,Yes,14835,1,No
2037,57,Male,Sales,Executive,3,2,2,3,3,12,6,0,No,9452,7,No
2038,49,Female,Marketing,Executive,4,3,2,4,3,18,5,5,No,8520,20,No
2039,55,Male,Operations,Coordinator,2,4,4,2,3,12,2,5,No,3352,1,No
2040,37,Female,HR,Analyst,5,3,2,2,3,4,4,1,Yes,14888,8,No
2041,57,Male,Marketing,Analyst,3,3,1,3,1,16,2,4,Yes,3569,16,Yes
2042,28,Male,HR,Specialist,5,1,4,4,1,17,9,4,No,17800,13,No
2043,39,Female,HR,Analyst,3,4,2,3,3,11,6,4,Yes,4214,27,No
2044,27,Male,Marketing,Analyst,3,4,3,2,1,16,7,3,Yes,16042,10,Yes
2045,49,Male,R&D,Executive,1,3,2,3,3,17,7,4,No,4702,14,No
2046,55,Female,Operations,Coordinator,4,3,1,3,3,0,8,4,No,15349,7,Yes
2047,50,Female,Marketing,Engineer,2,2,2,3,4,1,8,0,No,10377,28,Yes
2048,25,Male,IT,Executive,5,2,2,2,2,12,3,4,No,6131,10,No
2049,35,Male,R&D,Coordinator,3,3,1,2,1,9,9,3,No,11520,12,Yes
2050,26,Female,Marketing,Executive,5,3,1,4,2,2,4,3,Yes,17111,8,No
2051,46,Male,Marketing,Specialist,1,3,1,1,3,14,8,2,No,4470,13,Yes
2052,29,Female,R&D,Coordinator,2,3,3,2,4,0,4,3,No,11703,1,No
2053,36,Male,Marketing,Coordinator,4,3,2,1,3,11,2,4,No,7646,14,No
2054,40,Male,R&D,Specialist,4,4,3,3,3,3,8,1,No,16457,24,No
2055,32,Female,Marketing,Coordinator,3,2,3,1,4,1,7,2,No,8633,11,No
2056,41,Female,IT,Engineer,2,3,1,4,4,19,7,3,No,4679,27,No
2057,57,Male,Marketing,Manager,4,1,4,3,1,18,5,2,No,17770,10,No
2058,39,Male,R&D,Analyst,2,3,3,4,4,18,1,0,Yes,17901,1,No
2059,35,Male,Operations,Coordinator,5,3,2,1,1,19,5,4,No,6767,27,No
2060,59,Male,Marketing,Analyst,1,2,1,3,1,19,2,4,Yes,5919,15,Yes
2061,46,Female,HR,Executive,2,2,3,2,1,12,1,5,Yes,8614,10,No
2062,37,Male,Finance,Executive,2,3,2,1,2,7,5,5,No,15775,9,No
2063,39,Male,R&D,Coordinator,4,2,2,1,2,10,7,2,No,19710,13,No
2064,22,Female,Marketing,Coordinator,3,2,2,3,1,7,6,3,No,8457,23,No
2065,22,Female,Operations,Coordinator,3,1,3,3,1,11,3,1,No,14224,13,No
2066,22,Female,Sales,Engineer,5,2,1,4,2,16,7,3,Yes,15108,8,Yes
2067,42,Male,Finance,Coordinator,4,3,1,2,1,7,7,2,No,11891,10,No
2068,46,Female,R&D,Analyst,4,3,4,1,3,2,6,5,Yes,18706,14,No
2069,48,Female,R&D,Executive,1,4,2,2,3,6,1,3,No,13259,5,No
2070,31,Male,Marketing,Executive,3,3,1,2,4,12,3,2,No,11255,6,No
2071,33,Female,Finance,Coordinator,4,4,4,2,1,17,2,4,Yes,11289,4,Yes
2072,49,Female,Finance,Specialist,5,2,4,3,1,9,6,4,No,9467,12,No
2073,53,Male,R&D,Manager,1,1,1,2,3,5,2,4,No,11398,9,Yes
2074,54,Female,Operations,Coordinator,3,4,1,4,1,3,6,2,No,15208,13,Yes
2075,29,Male,Sales,Engineer,3,3,1,2,3,12,7,5,No,10765,11,No
2076,47,Female,Marketing,Manager,3,3,3,3,3,14,3,4,No,7849,24,No
2077,23,Female,Operations,Manager,1,4,1,3,1,16,6,0,No,4596,2,No
2078,56,Female,IT,Coordinator,5,3,1,2,1,12,8,1,Yes,16307,23,Yes
2079,55,Male,HR,Engineer,5,4,3,4,3,14,6,2,No,14268,27,No
2080,27,Female,HR,Analyst,4,2,1,1,1,5,1,5,No,8790,23,Yes
2081,52,Female,HR,Coordinator,4,4,1,1,1,18,8,5,No,7720,28,Yes
2082,44,Female,R&D,Executive,3,3,1,4,2,11,4,4,No,5625,13,No
2083,33,Female,Marketing,Engineer,2,3,2,3,2,19,9,0,No,8423,23,No
2084,49,Male,Marketing,Executive,4,3,3,2,3,19,5,3,No,3160,3,No
2085,36,Female,Sales,Coordinator,5,2,1,1,3,6,1,1,No,19795,18,No
2086,40,Female,Sales,Coordinator,3,3,3,1,4,8,9,5,No,7487,1,No
2087,33,Female,Marketing,Specialist,5,3,4,2,4,10,6,5,No,11611,8,No
2088,23,Female,IT,Manager,3,3,4,1,3,15,8,1,Yes,3385,1,No
2089,32,Male,R&D,Specialist,1,3,3,1,2,6,1,4,No,8911,2,No
2090,58,Male,R&D,Manager,4,3,1,3,3,13,8,2,No,15122,15,Yes
2091,59,Male,R&D,Analyst,1,3,3,1,3,0,4,5,No,19352,6,No
2092,46,Female,Sales,Engineer,4,3,2,1,2,19,0,2,No,8044,12,No
2093,42,Male,R&D,Analyst,5,2,4,3,4,16,4,0,Yes,11377,14,No
2094,57,Male,Finance,Manager,5,3,3,1,3,5,1,2,Yes,19418,23,No
2095,30,Male,Finance,Coordinator,2,3,1,3,4,1,7,4,No,3246,23,No
2096,33,Female,Finance,Specialist,5,4,1,2,1,8,2,1,No,17774,10,Yes
2097,31,Female,R&D,Manager,3,3,4,1,2,15,8,1,No,9445,2,No
2098,26,Male,Finance,Coordinator,2,4,2,1,3,19,4,1,Yes,15440,13,No
2099,54,Female,Marketing,Analyst,3,2,4,4,3,10,2,4,No,17548,24,No
2100,26,Female,IT,Coordinator,2,2,1,4,4,19,9,3,No,16962,3,Yes
2101,37,Female,R&D,Coordinator,3,3,2,4,1,5,0,4,No,14031,2,No
2102,58,Male,IT,Analyst,2,3,3,3,2,12,3,1,Yes,7101,14,No
2103,58,Female,Finance,Specialist,4,3,4,1,1,11,6,1,Yes,4816,2,No
2104,50,Female,R&D,Coordinator,4,3,3,1,1,14,2,2,Yes,9559,1,Yes
2105,39,Male,Operations,Specialist,2,3,3,4,3,5,8,1,Yes,8423,11,No
2106,50,Female,HR,Coordinator,1,3,1,3,4,19,4,5,No,14830,1,Yes
2107,27,Female,Operations,Coordinator,2,2,1,4,4,19,5,0,No,11611,12,No
2108,39,Male,HR,Analyst,1,4,2,1,3,15,6,4,No,15067,23,No
2109,53,Male,HR,Manager,3,3,3,3,3,19,9,2,Yes,3891,9,No
2110,52,Female,Finance,Manager,2,4,2,4,1,8,4,2,No,19439,14,No
2111,32,Female,HR,Engineer,1,3,2,1,4,9,1,5,No,11157,22,No
2112,47,Female,HR,Analyst,2,3,4,4,2,5,2,3,Yes,6808,15,No
2113,49,Male,Operations,Engineer,4,4,4,2,3,12,8,3,Yes,17373,8,No
2114,48,Male,HR,Coordinator,4,4,1,3,1,4,2,1,No,4012,28,Yes
2115,40,Female,R&D,Analyst,2,4,3,2,4,14,1,0,Yes,10020,14,No
2116,48,Female,IT,Engineer,2,3,2,2,3,11,7,0,Yes,15134,12,No
2117,41,Female,Marketing,Executive,5,2,3,3,1,8,7,2,Yes,19524,19,No
2118,24,Female,IT,Manager,4,3,1,2,4,4,6,4,No,8699,12,Yes
2119,37,Male,R&D,Manager,3,3,3,4,2,11,1,3,Yes,14869,2,No
2120,50,Female,Marketing,Executive,2,4,2,1,1,14,1,2,Yes,9158,18,Yes
2121,36,Male,Finance,Specialist,5,3,2,3,2,11,2,3,Yes,7235,1,No
2122,51,Male,Marketing,Executive,2,2,3,4,1,11,9,3,Yes,5580,7,No
2123,22,Male,Marketing,Manager,4,2,3,1,2,18,0,0,Yes,13490,25,No
2124,50,Female,Operations,Analyst,1,2,3,2,4,14,4,2,No,8168,3,No
